Dataset Name,Image Name,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism 2],Term Source 2 REF,Term Source 2 Accession,Characteristics [Organism Part],Term Source 3 REF,Term Source 3 Accession,Material Type,Experimental Condition [Cell Type],Term Source 4 REF,Term Source 4 Accession,Comment [Cell Type Comments],Experimental Condition [Genotype],Experimental Condition [ID],Experimental Condition [Batch],Experimental Condition [ID_ns],Protocol - Treatment,Protocol - Image Acquisition and Feature Extraction ,Source Name,Assay Name,Comment [Gene Identifier 1],Comment [Gene Symbol 1],Comment [Gene Identifier 2],Comment [Gene Symbol 2],Comment [Gene Identifier 3],Comment [Gene Symbol 3],Comment [Gene Identifier 4],Comment [Gene Symbol 4],Comment [Gene Identifier 5],Comment [Gene Symbol 5],Comment [Gene Annotation Comments],Image File,Comment [Image File Path],Comment [Image File Type],Protocol - Data Analysis,Processed Data File
2020-09-14,Eran Hodis 2020-09-14-052.svs [0],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 120 XLR,L39,EH_120_XLR,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_120_XLR_L39,EH_120_XLR,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-052.svs,2020-09-14\Eran Hodis 2020-09-14-052.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
2020-09-14,Eran Hodis 2020-09-14-052.svs [label image],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 120 XLR,L39,EH_120_XLR,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_120_XLR_L39,EH_120_XLR,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-052.svs,2020-09-14\Eran Hodis 2020-09-14-052.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
2020-09-14,Eran Hodis 2020-09-14-052.svs [macro image],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 120 XLR,L39,EH_120_XLR,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_120_XLR_L39,EH_120_XLR,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-052.svs,2020-09-14\Eran Hodis 2020-09-14-052.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
2020-09-14,Eran Hodis 2020-09-14-051.svs [0],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 106 XR,L39,EH_106_XR,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_106_XR_L39,EH_106_XR,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-051.svs,2020-09-14\Eran Hodis 2020-09-14-051.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
2020-09-14,Eran Hodis 2020-09-14-051.svs [label image],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 106 XR,L39,EH_106_XR,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_106_XR_L39,EH_106_XR,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-051.svs,2020-09-14\Eran Hodis 2020-09-14-051.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
2020-09-14,Eran Hodis 2020-09-14-051.svs [macro image],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 106 XR,L39,EH_106_XR,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_106_XR_L39,EH_106_XR,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-051.svs,2020-09-14\Eran Hodis 2020-09-14-051.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
2020-09-14,Eran Hodis 2020-09-14-050.svs [0],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 106 XL,L39,EH_106_XL,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_106_XL_L39,EH_106_XL,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-050.svs,2020-09-14\Eran Hodis 2020-09-14-050.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
2020-09-14,Eran Hodis 2020-09-14-050.svs [label image],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 106 XL,L39,EH_106_XL,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_106_XL_L39,EH_106_XL,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-050.svs,2020-09-14\Eran Hodis 2020-09-14-050.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
2020-09-14,Eran Hodis 2020-09-14-050.svs [macro image],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 106 XL,L39,EH_106_XL,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_106_XL_L39,EH_106_XL,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-050.svs,2020-09-14\Eran Hodis 2020-09-14-050.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
2020-09-14,Eran Hodis 2020-09-14-049.svs [0],Homo sapiens,NCBITaxon,NCBITaxon_9606,Mus musculus,NCBITaxon,NCBITaxon_10090,Skin of body,UBERON,UBERON_0002097,Xenografts of cells from Homo sapiens into Mus musculus,Foreskin melanocyte,CL,CL_2000045,"Foreskin Neonatal Melanocytes, Genome Edited",CBT3,EH 102 XR,L39,EH_102_XR,Intradermal injections into NSG mice (4-6 weeks old),Digital whole slide scanning,EH_102_XR_L39,EH_102_XR,ENSG00000147889,CDKN2A,ENSG00000157764,BRAF,ENSG00000164362,TERT,ENSG00000141510,TP53,,,Ensembl GRCh38.p13,2020-09-14\Eran Hodis 2020-09-14-049.svs,2020-09-14\Eran Hodis 2020-09-14-049.svs,raw,"Ilastik was used to segment background versus tissue in each WSI, OpenSlide was used to partition each WSI into 2048x2048 pixel tiles, producing a total of 21,702 tiles (tiles not containing tissue were removed). Tiles constituted the input data for the neural network model, applied as described in Supplementary Material of Hodis*, Torlai Triglia* et al, 2022.",Hodis_TorlaiTriglia_final_file_df_merged_1004.csv
